X_UTM_m,Y_UTM_m,Top_Reservoir_TVDSS_m,Gross_Thickness_m,Porosity_frac,Permeability_mD,Distance_to_Fault_m,SweetSpot_Index
490122.1,785524.2,2663.9,45.4,0.127,9.2,1931.9,0.0
490122.1,785874.2,2658.7,45.7,0.116,6.7,1962.2,0.0
490122.1,786224.2,2653.9,44.6,0.113,5.3,1992.6,0.0
490472.1,784824.2,2669.2,36.1,0.109,5.6,1522.5,0.0
490472.1,785174.2,2663.3,44.9,0.126,7.2,1552.8,0.0
490472.1,785524.2,2657.7,34.1,0.113,7.7,1583.2,0.0
490472.1,785874.2,2652.5,39.7,0.123,8.5,1613.5,0.0
490472.1,786224.2,2647.7,44.4,0.118,9.0,1643.9,0.0
490472.1,786574.2,2643.2,52.0,0.125,9.9,1674.2,0.0
490472.1,786924.2,2639.0,40.8,0.116,8.1,1704.6,0.0
490822.1,784124.2,2676.1,37.6,0.102,7.0,1113.1,0.0
490822.1,784474.2,2669.4,53.2,0.098,9.3,1143.4,0.0
490822.1,784824.2,2663.1,35.2,0.123,6.2,1173.8,0.0
490822.1,785174.2,2657.2,57.2,0.115,8.4,1204.1,0.0
490822.1,785524.2,2651.6,43.2,0.11,8.1,1234.5,0.0
490822.1,785874.2,2646.4,42.3,0.114,8.0,1264.8,0.0
490822.1,786224.2,2641.6,49.9,0.126,6.2,1295.2,0.0
490822.1,786574.2,2637.1,38.4,0.127,9.8,1325.5,0.0
490822.1,786924.2,2633.0,34.7,0.119,6.5,1355.9,0.0
490822.1,787274.2,2629.2,55.0,0.11,9.5,1386.2,0.0
490822.1,787624.2,2625.7,40.8,0.132,9.8,1416.6,0.0
491172.1,783774.2,2677.2,44.8,0.101,7.7,734.1,0.0
491172.1,784124.2,2670.2,35.3,0.126,6.1,764.4,0.0
491172.1,784474.2,2663.5,36.5,0.109,7.1,794.8,0.0
491172.1,784824.2,2657.2,34.4,0.108,9.9,825.1,0.0
491172.1,785174.2,2651.3,45.6,0.125,12.1,855.5,0.0
491172.1,785524.2,2645.7,38.4,0.118,12.8,885.8,0.0
491172.1,785874.2,2640.5,36.6,0.123,8.5,916.2,0.0
491172.1,786224.2,2635.7,43.9,0.116,6.3,946.5,0.0
491172.1,786574.2,2631.2,41.8,0.11,6.5,976.9,0.0
491172.1,786924.2,2627.1,58.7,0.12,5.7,1007.2,0.0
491172.1,787274.2,2623.3,45.6,0.118,7.8,1037.6,0.0
491172.1,787624.2,2619.8,43.9,0.127,10.1,1067.9,0.0
491172.1,787974.2,2616.6,44.9,0.107,7.6,1098.3,0.0
491522.1,783424.2,2678.8,38.6,0.109,8.8,355.0,0.0
491522.1,783774.2,2671.4,42.4,0.1,5.4,385.4,0.0
491522.1,784124.2,2664.4,44.2,0.103,10.1,415.7,0.0
491522.1,784474.2,2657.8,43.6,0.106,10.8,446.1,0.0
491522.1,784824.2,2651.5,45.8,0.111,6.2,476.4,0.0
491522.1,785174.2,2645.6,43.6,0.133,6.3,506.8,0.0
491522.1,785524.2,2640.0,37.2,0.098,6.4,537.1,0.0
