Well_ID,Well_Name,Zone_Order,Formation,Lithology_Class,Top_TVDSS_m,Base_TVDSS_m,Gross_Thickness_m,Net_to_Gross_frac,Porosity_frac,Permeability_mD,Water_Saturation_frac,Vshale_frac
KW-0001,Kimbala-0001,1,Shale_A,Shale,2529.1,2557.5,28.4,0.096,0.074,0.6,0.915,0.759
KW-0001,Kimbala-0001,2,Sand_A,ReservoirSand,2557.5,2582.4,25.0,0.294,0.145,13.4,0.772,0.251
KW-0001,Kimbala-0001,3,Shale_B,Shale,2582.4,2615.6,33.1,0.127,0.077,0.5,0.937,0.733
KW-0001,Kimbala-0001,4,Sand_B,ReservoirSand,2615.6,2654.5,39.0,0.382,0.128,13.1,0.485,0.311
KW-0001,Kimbala-0001,5,Shale_C,Shale,2654.5,2697.4,42.8,0.059,0.05,0.6,0.947,0.784
KW-0001,Kimbala-0001,6,Sand_C,ReservoirSand,2697.4,2750.1,52.7,0.345,0.123,7.5,0.602,0.234
KW-0001,Kimbala-0001,7,Shale_D,Shale,2750.1,2795.6,45.5,0.052,0.074,1.3,0.92,0.5
KW-0001,Kimbala-0001,8,Sand_D,ReservoirSand,2795.6,2856.0,60.4,0.289,0.186,13.6,0.785,0.151
KW-0002,Kimbala-0002,1,Shale_A,Shale,2698.2,2728.8,30.6,0.037,0.05,0.5,0.959,0.753
KW-0002,Kimbala-0002,2,Sand_A,ReservoirSand,2728.8,2754.7,25.9,0.379,0.138,84.5,0.775,0.329
KW-0002,Kimbala-0002,3,Shale_B,Shale,2754.7,2793.6,38.9,0.098,0.072,0.8,0.869,0.613
KW-0002,Kimbala-0002,4,Sand_B,ReservoirSand,2793.6,2837.2,43.5,0.465,0.146,52.6,0.644,0.342
KW-0002,Kimbala-0002,5,Shale_C,Shale,2837.2,2891.6,54.4,0.005,0.047,1.1,0.945,0.862
KW-0002,Kimbala-0002,6,Sand_C,ReservoirSand,2891.6,2943.1,51.5,0.456,0.115,54.2,0.674,0.359
KW-0002,Kimbala-0002,7,Shale_D,Shale,2943.1,2998.7,55.6,0.071,0.059,1.5,0.924,0.774
KW-0002,Kimbala-0002,8,Sand_D,ReservoirSand,2998.7,3065.7,67.0,0.49,0.16,75.4,0.784,0.24
KW-0003,Kimbala-0003,1,Shale_A,Shale,2459.3,2498.5,39.2,0.058,0.049,0.4,0.88,0.605
KW-0003,Kimbala-0003,2,Sand_A,ReservoirSand,2498.5,2531.6,33.1,0.655,0.119,21.5,0.54,0.309
KW-0003,Kimbala-0003,3,Shale_B,Shale,2531.6,2583.9,52.3,0.105,0.062,1.2,0.895,0.71
KW-0003,Kimbala-0003,4,Sand_B,ReservoirSand,2583.9,2640.5,56.6,0.575,0.141,19.6,0.638,0.351
KW-0003,Kimbala-0003,5,Shale_C,Shale,2640.5,2691.9,51.4,0.106,0.07,0.4,0.92,0.777
KW-0003,Kimbala-0003,6,Sand_C,ReservoirSand,2691.9,2767.7,75.8,0.549,0.126,36.9,0.656,0.253
KW-0003,Kimbala-0003,7,Shale_D,Shale,2767.7,2831.8,64.1,0.093,0.052,4.7,0.907,0.811
KW-0003,Kimbala-0003,8,Sand_D,ReservoirSand,2831.8,2921.0,89.2,0.592,0.116,100.3,0.47,0.143
KW-0004,Kimbala-0004,1,Shale_A,Shale,2432.9,2478.6,45.7,0.091,0.079,2.1,0.919,0.727
KW-0004,Kimbala-0004,2,Sand_A,ReservoirSand,2478.6,2523.4,44.8,0.643,0.123,4.8,0.472,0.261
KW-0004,Kimbala-0004,3,Shale_B,Shale,2523.4,2584.1,60.8,0.056,0.058,1.7,0.915,0.803
KW-0004,Kimbala-0004,4,Sand_B,ReservoirSand,2584.1,2653.9,69.8,0.501,0.131,14.9,0.683,0.262
KW-0004,Kimbala-0004,5,Shale_C,Shale,2653.9,2720.5,66.5,0.093,0.048,0.5,0.911,0.734
KW-0004,Kimbala-0004,6,Sand_C,ReservoirSand,2720.5,2806.0,85.5,0.468,0.107,4.0,0.604,0.322
