Well_ID,Well_Name,X_UTM_m,Y_UTM_m,CRS_EPSG,Field,Block,Quadrant,Trajectory,Status,Completion_Type,Spud_Date,Completion_Date,KB_Elevation_m,Water_Depth_m,Top_Reservoir_TVDSS_m,Gross_Thickness_m,Net_to_Gross_frac,NetPay_m,Porosity_frac,Permeability_mD,Water_Saturation_frac,Oil_Saturation_frac,Gas_Saturation_frac,Total_Depth_MD_m,Total_Depth_TVDSS_m,Deviation_Azimuth_deg,Max_Inclination_deg,Lateral_Length_m,Distance_to_Nearest_Fault_m,Nearest_Fault_ID,Reservoir_Quality_Index
KW-0001,Kimbala-0001,499487.37,782754.65,32632,Kimbala,B02-02,SW,Vertical,Producer,Oil,2020-02-09,2020-04-08,125.4,27.4,2619.1,42.6,0.32,12.3,0.148,8.7,0.638,0.287,0.075,3226.2,3152.0,,5.4,0.0,3252.6,F03,37.2
KW-0002,Kimbala-0002,519217.08,777630.58,32632,Kimbala,B02-05,SE,Deviated,DryHole,Dry,2022-11-09,2023-03-30,163.4,28.5,2788.2,49.3,0.499,22.3,0.132,33.1,0.671,0.278,0.051,3374.2,3374.2,221.4,36.9,429.6,190.2,F06,40.7
KW-0003,Kimbala-0003,521265.78,789047.99,32632,Kimbala,B03-06,NE,Vertical,Appraisal,Suspended,2021-06-09,2021-07-04,151.4,15.7,2549.3,62.5,0.527,28.5,0.132,37.6,0.561,0.382,0.057,3251.2,3224.9,,0.4,0.0,668.6,F06,42.6
KW-0004,Kimbala-0004,523734.25,793852.73,32632,Kimbala,B04-06,NE,Horizontal,DryHole,Dry,2016-09-16,2017-02-22,153.4,32.8,2522.9,78.5,0.456,32.9,0.135,6.3,0.62,0.352,0.028,4655.7,3051.6,108.4,84.5,2238.6,817.1,F06,39.2
KW-0005,Kimbala-0005,510791.07,793959.06,32632,Kimbala,B04-04,NE,Vertical,Producer,Oil,2024-07-03,2024-09-08,134.8,50.9,2521.5,32.9,0.381,10.5,0.141,19.2,0.487,0.438,0.075,2905.5,2905.5,,2.5,0.0,717.7,F04,37.7
KW-0006,Kimbala-0006,506417.12,794257.46,32632,Kimbala,B04-03,NW,Horizontal,DryHole,Dry,2017-04-05,2017-05-04,130.1,0.0,2520.2,27.2,0.422,11.5,0.173,14.3,0.434,0.478,0.089,4018.1,2918.4,0.3,91.1,1194.9,5056.6,F04,43.1
KW-0007,Kimbala-0007,509676.68,782952.97,32632,Kimbala,B02-04,SW,Vertical,Producer,Oil,2023-07-13,2023-08-26,150.4,8.3,2602.9,53.0,0.527,20.8,0.186,66.8,0.362,0.599,0.039,3311.3,3014.2,,4.4,0.0,948.6,F04,52.4
KW-0008,Kimbala-0008,502367.78,785813.77,32632,Kimbala,B03-03,NW,Deviated,Producer,Gas,2018-08-10,2018-09-10,156.6,29.5,2512.4,90.5,0.495,37.6,0.168,130.7,0.522,0.39,0.088,3182.8,3182.8,284.5,30.4,771.3,6115.5,F03,55.3
KW-0009,Kimbala-0009,517169.81,781435.33,32632,Kimbala,B02-05,SE,Deviated,Producer,Oil,2023-09-12,2024-01-15,138.4,15.3,2703.8,81.5,0.368,30.8,0.134,46.7,0.569,0.401,0.03,3353.3,3353.3,37.7,48.8,528.5,2788.7,F05,44.3
KW-0010,Kimbala-0010,499584.41,785205.88,32632,Kimbala,B03-02,NW,Horizontal,Injector,WaterInjector,2018-04-08,2018-09-06,144.0,68.8,2570.2,52.5,0.335,16.4,0.154,24.6,0.583,0.378,0.039,4504.7,2931.8,317.0,83.8,2090.0,3335.7,F03,42.4
KW-0011,Kimbala-0011,501497.76,779212.01,32632,Kimbala,B02-02,SW,Vertical,DryHole,Dry,2021-01-13,2021-03-26,152.9,27.0,2707.1,62.2,0.481,25.9,0.145,55.4,0.47,0.505,0.025,3222.5,3222.5,,0.9,0.0,5283.2,F03,45.6
KW-0012,Kimbala-0012,509362.25,772626.86,32632,Kimbala,B01-04,SW,Deviated,Producer,Gas,2022-10-06,2023-01-03,148.2,32.2,2920.7,43.7,0.433,17.2,0.139,16.1,0.627,0.334,0.039,3503.4,3503.4,46.4,36.4,858.6,2423.2,F05,38.6
KW-0013,Kimbala-0013,499108.16,775262.94,32632,Kimbala,B01-02,SW,Deviated,Producer,Oil+Gas,2021-05-26,2021-10-11,150.1,51.6,2853.5,44.7,0.378,13.8,0.137,24.0,0.561,0.396,0.043,3524.2,3430.7,285.2,49.4,906.6,2916.3,F03,38.6
KW-0014,Kimbala-0014,499205.33,790140.95,32632,Kimbala,B04-02,NW,Deviated,Producer,Gas,2022-12-03,2023-01-25,136.8,0.0,2532.8,45.4,0.511,20.8,0.138,24.8,0.676,0.312,0.013,3101.1,3101.1,243.7,47.0,752.2,2928.4,F03,40.6
KW-0015,Kimbala-0015,519453.58,777880.01,32632,Kimbala,B02-05,SE,Deviated,Appraisal,Suspended,2020-12-31,2021-04-21,150.5,37.5,2736.2,38.0,0.463,14.0,0.126,10.7,0.613,0.345,0.042,3165.2,3165.2,307.8,32.1,1177.1,63.4,F06,34.2
KW-0016,Kimbala-0016,518151.8,781552.54,32632,Kimbala,B02-05,SE,Vertical,DryHole,Dry,2021-04-07,2021-07-14,143.0,13.9,2645.2,89.9,0.365,26.0,0.151,14.2,0.546,0.34,0.114,2999.8,2999.8,,-1.0,0.0,2263.5,F06,42.6
KW-0017,Kimbala-0017,514414.01,789051.55,32632,Kimbala,B03-05,NE,Vertical,Producer,Oil,2024-01-08,2024-05-04,140.6,26.7,2542.6,42.9,0.452,17.7,0.167,8.0,0.565,0.372,0.063,3004.6,3004.6,,0.3,0.0,1895.9,F05,41.9
KW-0018,Kimbala-0018,510652.04,773722.06,32632,Kimbala,B01-04,SE,Vertical,DryHole,Dry,2018-11-08,2019-04-03,150.3,17.5,2919.2,61.3,0.338,17.6,0.11,4.0,0.642,0.334,0.024,3466.1,3397.5,,0.4,0.0,1464.4,F05,29.5
KW-0019,Kimbala-0019,522325.11,780226.18,32632,Kimbala,B02-06,SE,Deviated,Appraisal,Suspended,2023-07-19,2023-11-18,143.2,23.5,2677.3,57.1,0.368,18.3,0.143,20.1,0.624,0.33,0.046,3156.4,3156.4,90.8,38.7,1050.2,2088.2,F06,40.3
KW-0020,Kimbala-0020,512800.09,790294.14,32632,Kimbala,B04-04,NE,Vertical,Abandoned,Plugged,2023-08-26,2024-01-15,137.5,0.0,2500.5,34.5,0.43,13.0,0.105,8.3,0.662,0.272,0.066,2757.0,2757.0,,2.7,0.0,2017.3,F04,29.4
KW-0021,Kimbala-0021,490418.51,785624.77,32632,Kimbala,B03-01,NW,Vertical,Appraisal,Suspended,2024-05-21,2024-06-22,139.5,30.1,2674.6,36.8,0.365,10.5,0.107,5.3,0.703,0.268,0.029,3176.3,3176.3,,2.2,0.0,1645.2,F02,27.9
KW-0022,Kimbala-0022,498598.95,789380.1,32632,Kimbala,B04-02,NW,Vertical,Producer,Oil,2016-01-15,2016-02-21,120.1,52.9,2573.6,57.6,0.345,16.3,0.146,29.3,0.552,0.375,0.073,2833.6,2833.6,,4.5,0.0,2326.4,F03,41.3
KW-0023,Kimbala-0023,496567.39,790671.52,32632,Kimbala,B04-02,NW,Deviated,Appraisal,Suspended,2017-08-03,2017-09-19,142.3,44.7,2553.8,51.8,0.322,12.7,0.103,6.7,0.699,0.227,0.074,3076.7,3076.7,287.2,52.3,1181.7,287.5,F03,28.5
KW-0024,Kimbala-0024,495131.46,780798.63,32632,Kimbala,B02-01,SW,Vertical,DryHole,Dry,2024-09-13,2024-10-10,150.9,13.0,2720.5,67.4,0.477,27.0,0.116,10.2,0.563,0.336,0.101,3255.3,3255.3,,-2.4,0.0,1092.0,F03,35.5
KW-0025,Kimbala-0025,515492.68,794235.1,32632,Kimbala,B04-05,NE,Horizontal,Producer,Oil,2024-01-12,2024-03-29,139.6,38.6,2534.3,42.8,0.45,19.0,0.125,10.1,0.64,0.293,0.067,4102.1,3020.1,77.3,78.6,1282.7,2236.6,F05,35.1
